id;name;ca;town;status;type;numVictims;lat;long
2603;Fosa en el Cementerio de Ubeda;Andalucía;Ubeda;EXHUMADA TOTAL;;0;38.01397;-3.3702252
2604;;;;;;0;0.0;0.0
2605;Fosa en el Cementerio de La Bobadilla;Andalucía;Alcaudete;NO INTERVENIDA;;6;37.5905;-4.0816803
2606;;;;;;6;0.0;0.0
2607;Fosa en el Cementerio de Vélez Málaga;Andalucía;Vélez-Málaga;NO INTERVENIDA;;0;36.78359;-4.10385
2608;;;;;;0;0.0;0.0
2609;Fosa del Cementerio de Berja;Andalucía;Berja;DESAPARECIDA;;0;36.847286;-2.9478445
2610;;;;;;0;0.0;0.0
2611;Fosa 2 en el cementerio de Tarifa;Andalucía;Tarifa;NO INTERVENIDA;FUSILAMIENTO;5;36.0146;-5.600511
2612;;;;;;5;0.0;0.0
2613;Fosa en el paraje El Vico;Andalucía;Tarifa;EXHUMADA TOTAL;;3;36.0146;-5.600511
2614;;;;;;3;0.0;0.0
2615;Fosa en antiguo cementerio de Niebla;Andalucía;Niebla;DESAPARECIDA;;0;37.36309;-6.677886
2616;;;;;;0;0.0;0.0
2617;Fosa en el paraje El Rincón;Andalucía;Valle de Abdalajís;NO INTERVENIDA;;1;36.93261;-4.6811857
2618;;;;;;1;0.0;0.0
2619;Fosas en el Cementerio Viejo - Castillo de Alora;Andalucía;Alora;NO INTERVENIDA;;0;36.82381;-4.7050385
2620;;;;;;0;0.0;0.0
2621;Fosa en el Cementerio de Mollina;Andalucía;Mollina;NO INTERVENIDA;;0;37.12704;-4.6564503
2622;;;;;;0;0.0;0.0
2623;Fosa común en cementerio de Hinojos;Andalucía;Hinojos;DESAPARECIDA;;0;37.29325;-6.376064
2624;;;;;;0;0.0;0.0
2625;Fosa en cementerio de Manzanilla;Andalucía;Manzanilla;DESAPARECIDA;;0;37.39043;-6.4314055
2626;;;;;;0;0.0;0.0
2627;Fosa en la Barriada de la Estación;Andalucía;Jimera de Líbar;DESAPARECIDA;;0;36.653;-5.272078
2628;;;;;;0;0.0;0.0
